Order ID,Shop,MP EAN,Quantity,Shipping Label,Order Time,Batch Type,Batch Number,Order Status
A000D5U83X,Jean,8721161953289,1,e432cb95-dc48-4073-866d-158983d8b2de,2025-12-21 00:39:41,Single,S-001,open
A000D5L0LJ,Jean,8721161953456,1,accb26c8-8ac9-4bf5-999b-5de4243c5f71,2025-12-20 20:02:54,Single,S-001,open
A000D5AE81,Jean,8721161953456,1,432e1d01-17f6-4ef2-b9ef-a137ac54b5b7,2025-12-20 15:54:39,Single,S-001,open
A000D5AEA4,Jean,8721161953289,1,362b0d1e-3028-4a37-b72c-841b9a3d226d,2025-12-20 15:18:05,Single,S-001,open
A000D512U9,Jean,8721161953272,1,65c7d1e7-1bf3-4324-ab22-f48a7810a213,2025-12-20 10:35:53,Single,S-001,open
A000D4TN51,Jean,8721161953296,1,826390b3-e41a-42c6-9e08-7865d0e2c6bc,2025-12-20 01:45:11,Single,S-001,open
A000A9UU5U,Jean,8721161953289,1,2ef43933-a8ff-491d-809e-4c12bac68582,2025-12-19 22:07:05,Single,S-001,open
A000D4JMAM,Jean,8721161953135,1,81d23136-2965-4389-815b-fd66262321fc,2025-12-19 20:08:34,Single,S-001,open
A000D4HWFF,Jean,8721161953289,1,df6859f7-b381-4338-be61-eca4a09adc4f,2025-12-19 19:44:46,Single,S-001,open
A000D4HPJC,Jean,8721161953456,1,8d1f7b48-3c66-4e7a-ae43-163d11de06c3,2025-12-19 19:40:12,Single,S-001,open
