Order ID,Shop,MP EAN,Quantity,Shipping Label,Order Time,Batch Type,Batch Number,Order Status
A000D715NN,Trivium,8721161953104,1,54ff2137-a4ef-4ee6-9972-f34c56fe1138,2025-12-22 03:43:42,Single,S-002,open
A000D2FU86,Trivium,8721325778031,1,9153f112-e748-4123-91cb-4dfebe5477af,2025-12-22 00:33:43,Single,S-002,open
A000D6XN7K,Trivium,8721325778031,1,bf606937-24fc-4bc4-8fe7-5fe1f0045a7e,2025-12-21 23:45:21,Single,S-002,open
A000D6XRCN,Trivium,8721161953357,1,8a82a2f3-d674-4372-acc7-c9a609fa287e,2025-12-21 23:36:36,Single,S-002,open
A000D6XLH1,Trivium,8721161953104,1,b3f64cb8-745f-4bfc-ba07-5fde474238c3,2025-12-21 23:30:10,Single,S-002,open
A000D6UHDM,Trivium,8721161953357,1,d90531cb-2284-4379-ad64-82afdd43153f,2025-12-21 22:13:35,Single,S-002,open
A000D6RP37,Trivium,8721161953104,1,d1d07c3c-4a26-4015-a0fe-45183e387774,2025-12-21 21:52:40,Single,S-002,open
A000D6RUCE,Trivium,8721161953074,1,f892e4d6-3079-45de-aa81-c69de45e6699,2025-12-21 21:27:32,Single,S-002,open
A000D23FHF,Trivium,8721161953562,1,68016f9e-b7c8-4345-bb1d-86d0cc86c24c,2025-12-21 21:25:49,Single,S-002,open
A000D6RPWW,Trivium,8721161953609,1,2e54a0b6-f685-457e-8c9b-fbb4f1dc59c0,2025-12-21 21:23:03,Single,S-002,open
A000D6PLNT,Trivium,8721325778123,1,38b5b711-fc99-414f-99bf-3a9793899261,2025-12-21 20:55:06,Single,S-002,open
A000D6NULM,Trivium,8721161953586,1,2df9d722-7e66-4747-b3db-de9596c7bfcd,2025-12-21 20:38:08,Single,S-002,open
A000D6NM5X,Trivium,8721325778116,1,4993e394-2f68-4d55-9cc3-e4e9f5f1da03,2025-12-21 20:28:00,Single,S-002,open
A000D6MWEP,Trivium,8721161953579,1,0dfce6c5-ab24-4115-9c5d-4ebfbc321f2f,2025-12-21 20:22:39,Single,S-002,open
A000D6N887,Trivium,8721325778123,1,5d2c58dd-1fd4-47ed-876d-82d77ce54761,2025-12-21 20:20:20,Single,S-002,open
A000D6N80D,Trivium,8721161953111,1,6001c994-95c6-42fb-8ea1-36e69ac39b24,2025-12-21 20:15:57,Single,S-002,open
A000D6KXW1,Trivium,8721161953623,1,144d5a59-716f-41d7-94c6-2a1ad05f6406,2025-12-21 19:55:57,Single,S-002,open
A000D6L2AP,Trivium,8721325778116,1,69198bbb-01a2-4371-9002-805f0bec0ea5,2025-12-21 19:16:27,Single,S-002,open
A000D6K8C6,Trivium,8721161953357,1,89e58316-995e-4b74-aca8-405bf9a397da,2025-12-21 18:52:43,Single,S-002,open
A000D6K0JW,Trivium,8721161953357,1,58438158-7e09-4926-9917-8e763343c442,2025-12-21 18:42:17,Single,S-002,open
A000D6JUJ2,Trivium,8721161953579,1,4adc509c-61ba-40c1-a449-744662a71fe9,2025-12-21 18:38:40,Single,S-002,open
A000C2WX54,Trivium,8721325778031,1,34aed516-d78b-45aa-89fd-f30f2221b478,2025-12-21 18:01:08,Single,S-002,open
A000D6H93L,Trivium,8721161953616,1,017e4ace-982f-4a69-9ba6-aff803c26d28,2025-12-21 17:48:40,Single,S-002,open
A000D6FCWU,Trivium,8721325778116,1,761b690f-4ff6-46df-87b1-9fc15a33b5b7,2025-12-21 17:16:04,Single,S-002,open
A000D6F3UW,Trivium,8721161953586,1,64a74b6e-4c40-4274-8465-541020c37924,2025-12-21 17:07:14,Single,S-002,open
A000D6E1FD,Trivium,8721161953357,1,f827906d-fc4a-49ed-8f70-330eaa43da20,2025-12-21 16:32:38,Single,S-002,open
A000D69X5L,Trivium,8721325778031,1,f7f2e43e-f717-4dc4-8a97-5170e4e48fba,2025-12-21 14:53:21,Single,S-002,open
A000D6941L,Trivium,8721161953074,1,651ac123-b70c-4fea-af69-f648b3bc5d51,2025-12-21 14:28:04,Single,S-002,open
A000D65MKW,Trivium,8721161953562,1,2bb0cace-0756-42f1-98fc-40dfa01379b1,2025-12-21 13:35:37,Single,S-002,open
A000D4DRD5,Trivium,8721161953937,1,2dcb1222-052e-4992-8ff9-79a5f107644a,2025-12-21 11:43:51,Single,S-002,open
A000D61K3X,Trivium,8721325778031,1,5729cd0b-da70-4546-be35-ca776e9966d1,2025-12-21 10:37:03,Single,S-002,open
A000CJK8FK,Trivium,8721161953555,1,a5bdc662-c206-4d4d-8d3b-b2f5cdd1ced9,2025-12-21 09:29:33,Single,S-002,open
