Order ID,Shop,MP EAN,Quantity,Shipping Label,Order Time,Batch Type,Batch Number,Order Status
A000D6W66H,Jean,8721161953234,1,d470ecbd-0287-4cce-be31-9f13fcca34a2,2025-12-21 22:33:45,Single,S-001,open
A000D6UAUN,Jean,8721161953272,1,073d6318-1d02-4af5-98bf-eef50d6fda19,2025-12-21 22:14:38,Single,S-001,open
A000D6EHNM,Jean,8721161953173,1,d8dde3bd-3ee0-4766-ac9d-4143faa6fbed,2025-12-21 16:49:49,Single,S-001,open
A000D50W0M,Jean,8721161953920,1,b14b62b8-353d-496e-9758-1b50150cb9f4,2025-12-21 10:54:31,Single,S-001,open
