Order ID,Shop,MP EAN,Quantity,Shipping Label,Order Time,Batch Type,Batch Number,Order Status
A000DRURX0,Trivium,8721161953357,1,00303a3d-6f02-49d7-9751-c780ef2b6805,2026-01-12 01:40:33,Single,S-002,open
A000DRREF7,Trivium,8721161953104,1,748b75ad-ca4d-43c1-8e21-ff89374e2bfc,2026-01-11 21:55:59,Single,S-002,open
A000DRPXP9,Trivium,8721161953104,1,9f4df5a8-fd59-4443-b1e0-1f4936703b3a,2026-01-11 21:35:09,Single,S-002,open
A000DRP9AW,Trivium,8721325778123,1,3a85ecb9-4943-4ecb-b17b-2fea1e664efe,2026-01-11 21:07:43,Single,S-002,open
A000DRMWW7,Trivium,8721161953555,1,f4062f1b-4dce-4e5a-aaf7-a7e28becc93c,2026-01-11 20:17:01,Single,S-002,open
A000DRMJ59,Trivium,8721161953111,1,502d1929-8798-46be-980f-c644f5220ddf,2026-01-11 20:04:33,Single,S-002,open
A000D8LUT1,Trivium,8721325778000,1,198ab0e4-de5b-405e-9aba-1d97e4ecf07c,2026-01-11 19:52:05,Single,S-002,open
A000DRLM77,Trivium,8721161953111,1,09ae1412-03bd-4b54-8372-6eacdd0b0b6e,2026-01-11 19:45:41,Single,S-002,open
A000DRM12N,Trivium,8721161953111,1,eda07459-472e-42f2-9f09-aad3194b34ff,2026-01-11 19:43:43,Single,S-002,open
A000DRLUA7,Trivium,8721161953586,1,a3240ed8-a3bc-4aba-923c-31f8160877eb,2026-01-11 19:38:51,Single,S-002,open
