Order ID,Shop,MP EAN,Quantity,Shipping Label,Order Time,Batch Type,Batch Number,Order Status
A000D43302,Jean,8721161953111,1,7764dbd5-5129-4b4c-a722-89508b92c191,2025-12-19 12:57:52,Single,S-002,open
A000D417P3,Jean,8721325778123,1,ada3c787-bd6c-48fd-892a-a714876dab4b,2025-12-19 11:59:17,Single,S-002,open
A000D40U4R,Jean,8721161953357,1,a640b1ed-2f18-46d6-acb9-2a645a7c7117,2025-12-19 11:46:28,Single,S-002,open
A000D40AKE,Jean,8721325778031,1,2598648e-58a3-4a98-906a-eff40495cc6d,2025-12-19 11:31:11,Single,S-002,open
A000D3U4FE,Jean,8721161953104,1,a8ad273b-a332-4bfe-92ce-027d99e233d9,2025-12-19 09:47:14,Single,S-002,open
