Order ID,Shop,MP EAN,Quantity,Shipping Label,Order Time,Batch Type,Batch Number,Order Status
A000E4RD4H,Trivium,8721161953111,1,78146630-4a3a-49f3-bb75-b6bce3dd7d2c,2026-01-23 20:11:36,Single,S-005,open
A000E4FW4P,Trivium,8721325778048,1,1eb31c95-f413-4c36-ac15-6ed7b435f0fa,2026-01-23 19:58:17,Single,S-005,open
A000E4R0UD,Trivium,8721161953104,1,2d56d42e-62cf-4b52-9e89-42ba565e5899,2026-01-23 19:49:46,Single,S-005,open
A000E4M0H5,Trivium,8721161953555,1,f217e229-ac14-4468-830a-dbfcf54c4832,2026-01-23 17:22:27,Single,S-005,open
A000E4LXE1,Trivium,8721161953104,1,bb1c3ee0-dceb-409b-8d35-751b040f98bb,2026-01-23 17:20:35,Single,S-005,open
A000E4L23F,Trivium,8721161953340,1,853b02db-d1a0-411a-b3be-ece3dc1b1b7b,2026-01-23 16:40:26,Single,S-005,open
A000E4KN6R,Trivium,8721161953340,1,f55a3a04-c6e5-4782-bf0a-1cb5262d8db6,2026-01-23 16:26:32,Single,S-005,open
A000E4JN6M,Trivium,8721161953616,1,74099c61-2cc4-4e42-9d3d-69d7f2218a8e,2026-01-23 15:45:19,Single,S-005,open
