Order ID,Shop,MP EAN,Quantity,Shipping Label,Order Time,Batch Type,Batch Number,Order Status
A000CN4KR6,Trivium,8721161953555,1,0160cb6f-0de0-4864-8336-8951fa74e25f,2025-12-09 22:11:36,Single,S-003,open
A000CL2MNW,Trivium,8721161953357,1,7deaf55e-c1fe-43d0-876a-487824cab9e8,2025-12-09 21:17:27,Single,S-003,open
A000CN0PWN,Trivium,8721161953616,1,1d33d7be-c4a6-4f12-9ced-aff0f4dfcd61,2025-12-09 20:32:53,Single,S-003,open
A000CMX7R0,Trivium,8721325778031,1,69d8d761-4b3f-4f39-852a-7492b60763e2,2025-12-09 19:54:39,Single,S-003,open
A000CML5W2,Trivium,8721161953357,1,3fb42f45-c836-4b26-b023-08b3b67119f4,2025-12-09 19:27:15,Single,S-003,open
A000CMPACJ,Trivium,8721325778116,1,86dc40a3-0e90-4495-a0f6-c4e78f449700,2025-12-09 17:22:23,Single,S-003,open
A000CMP1XE,Trivium,8721325778031,1,50dcdd86-b3ee-42f4-9911-f14d467a553f,2025-12-09 17:10:32,Single,S-003,open
A000CME0XL,Trivium,8721325778031,1,65947df6-4ac6-4225-8c5e-a03b1b664045,2025-12-09 16:45:29,Single,S-003,open
A000CML44F,Trivium,8721325778123,1,e4d437d3-a864-4ab2-9459-86439b2e4878,2025-12-09 15:40:28,Single,S-003,open
