Order ID,Shop,MP EAN,Quantity,Shipping Label,Order Time,Batch Type,Batch Number,Order Status
A000CN514N,Jean,8721161953920,1,a5a9ab1a-fb52-42c0-b11b-c958007e6945,2025-12-09 22:23:52,Single,S-002,open
A000CN1J16,Jean,8721161953173,1,cdb23946-5f9e-44e7-b811-2954f3034b7e,2025-12-09 20:51:44,Single,S-002,open
A000CMWRA0,Jean,8721161953289,1,4f02446d-df16-4419-b83d-eed785ac138b,2025-12-09 19:42:59,Single,S-002,open
A000C0P28J,Jean,8721161953173,1,20cccc5c-f9f3-445d-bb06-f14cba464adb,2025-12-09 17:44:17,Single,S-002,open
